Account,Debit,Credit
50700 Operations:Office equipment and supplies:Memberships,2183.54,
51000 Operations:Office equipment and supplies:Postage,1167.92,
51100 Operations:Office equipment and supplies:Print Stationery Office Supplies,4133.70,
51105 Operations:Office equipment and supplies:Supplies,1276.04,
50410 Operations:Professional fees:Computer Support,24168.97,
51200 Operations:Professional fees:Professional Services,57255.96,
"50280 Operations:Promotion, public relations and special events:Website",1264.75,
"50400 Operations:Promotion, public relations and special events:Transaction Fees ePledge,@work",2750.00,
"50750 Operations:Promotion, public relations and special events:Thank yous & Volunteer Recognition",1301.81,
"51450 Operations:Promotion, public relations and special events:Engagement Events",7407.60,
"60100 Operations:Promotion, public relations and special events:Campaign Analysis",960.00,
"91000 Operations:Promotion, public relations and special events:Community Celebration",1297.45,
"91100 Operations:Promotion, public relations and special events:Kickoff",7922.88,
"91995 Operations:Promotion, public relations and special events:50/50 Lotto",30366.61,
"50210 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Brochures",1584.70,
"50220 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Direct Mail",4278.93,
"50235 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Pledge Forms",81.91,
"50251 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Advertising",10348.53,
"50255 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Photography and stock photography",169.20,
"50260 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Campaign Posters",927.50,
"50265 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Billboards and Bus Advertising",3.05,
"50275 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Social Media",6154.72,
"50285 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Other Campaign Collateral",53192.62,
"50286 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Promotional Give away items",5158.71,
"50290 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Miscellaneous Comm. Expense",9505.89,
"50294 Operations:Promotion, public relations and special events:Marketing materials (communication & collateral):Paid Media",7425.00,
51601 Operations:Salaries and benefits:Payroll Clearing,0.00,
51610 Operations:Salaries and benefits:Salaries,942227.45,
51650 Operations:Salaries and benefits:Benefits,93020.71,
Operations:Service charges,82.17,
51700 Operations:Service charges:Service Charges 1,24013.97,
61750 Operations:Service charges:CCC Administration Fee,5921.17,
66000 Operations:Service charges:GCWCC Administration Fee,13735.10,
91990 Operations:Special events:Period Promise,7999.86,
Operations:Special events:Tampon Tuesday,477.22,
51300 Operations:Staff development and recruitment:Staff Development,4822.57,
51305 Operations:Staff development and recruitment:Staff recognition and appreciation (gifts),162.58,
75000 Operations:United Way of Canada dues:United Way Centraide,39646.51,
TOTAL,6099505.28,6099505.28
